                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.0244,                 1.2622,                0.50785,                 0.8478,                0.92801,                0.91324,                0.94974,                0.63964,                0.89939,                0.90868,                0.92429,                0.47056,                 1.1951,                 1.6058,                0.55638,                  0.879,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.0278,                 1.2701,                0.50666,                0.84561,                0.93783,                0.90868,                0.95045,                0.64162,                0.91008,                0.90119,                0.92729,                0.47039,                 1.1824,                 1.5727,                0.56024,                0.87719,              0.0010595,              0.0010595,              0.0010595
                     98,                 1.0219,                 1.2614,                0.50671,                0.84689,                0.92786,                0.91324,                0.94941,                  0.641,                 0.9115,                0.89726,                0.93372,                0.46428,                 1.1824,                 1.5816,                0.56239,                0.87784,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.0103,                 1.2804,                 0.4996,                0.84416,                0.92834,                0.91553,                0.95228,                0.63736,                0.90511,                0.89291,                0.92726,                0.46572,                  1.206,                 1.6701,                0.55946,                0.88294,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.0082,                 1.2576,                0.49398,                0.84802,                0.94298,                 0.9062,                0.95558,                0.64397,                0.92421,                0.89086,                0.93809,                0.49064,                 1.1796,                 1.6004,                0.56867,                0.87726,              0.0010298,              0.0010298,              0.0010298
                    101,                 1.0089,                 1.2661,                0.49575,                0.84392,                0.93734,                 0.9221,                0.95181,                 0.6383,                0.90912,                 0.8907,                0.92111,                0.46925,                 1.1835,                 1.6207,                0.56121,                0.87624,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.0103,                  1.265,                0.49553,                0.85063,                 0.9287,                0.89726,                0.94339,                 0.6379,                0.90744,                0.87671,                0.91884,                0.48004,                  1.193,                  1.569,                0.56837,                0.88051,                0.00101,                0.00101,                0.00101
                    103,                 1.0013,                 1.2433,                0.49491,                0.84526,                0.93007,                0.91101,                0.95172,                0.64027,                0.90929,                0.89253,                0.92559,                0.48153,                 1.1872,                 1.6015,                 0.5573,                0.87937,              0.0010001,              0.0010001,              0.0010001
                    104,                 1.0052,                 1.2365,                 0.4936,                0.84611,                0.93287,                0.92015,                0.94884,                0.62736,                0.91869,                0.90285,                 0.9295,                0.46556,                 1.1961,                 1.5602,                0.56715,                0.87839,              0.0009902,              0.0009902,              0.0009902
                    105,                 1.0049,                 1.2591,                 0.4897,                 0.8472,                0.94276,                0.90639,                0.94504,                0.63958,                0.91654,                0.88584,                0.92081,                0.47474,                 1.1745,                 1.5824,                0.56137,                0.87565,              0.0009803,              0.0009803,              0.0009803
                    106,                0.99876,                 1.2275,                0.48889,                0.84193,                0.92833,                0.91324,                0.94794,                0.63914,                0.91342,                0.89119,                0.92505,                0.48866,                 1.1899,                 1.5728,                0.55654,                 0.8759,              0.0009704,              0.0009704,              0.0009704
