                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.83265,                0.53159,                0.89714,                0.87372,                0.91093,                0.94783,                0.76535,                0.87005,                0.54364,                 0.9019,             0.00072775,             0.00072775,             0.00072775
                     58,                0.83989,                0.53086,                0.89377,                0.91971,                0.88426,                0.94906,                0.75711,                0.88268,                0.54936,                0.89945,              0.0007228,              0.0007228,              0.0007228
                     59,                0.83378,                 0.5331,                0.89509,                0.90934,                0.95255,                0.96873,                0.77506,                0.87359,                0.51604,                0.90421,             0.00071785,             0.00071785,             0.00071785
                     60,                0.84107,                0.54384,                0.89856,                0.87591,                0.93285,                0.94804,                0.76249,                0.86307,                 0.5374,                0.89866,              0.0007129,              0.0007129,              0.0007129
                     61,                0.83979,                0.53396,                 0.8957,                0.85223,                0.93697,                0.94915,                0.77147,                0.86094,                 0.5319,                0.89678,             0.00070795,             0.00070795,             0.00070795
                     62,                0.83217,                0.52892,                0.89433,                 0.8967,                0.90536,                0.95343,                0.76936,                0.87076,                0.54596,                 0.8997,               0.000703,               0.000703,               0.000703
                     63,                 0.8204,                0.52675,                0.89604,                0.88004,                0.92736,                0.94715,                0.76753,                0.84723,                0.54714,                0.88792,             0.00069805,             0.00069805,             0.00069805
                     64,                0.83021,                0.52322,                0.89575,                0.84862,                0.92451,                 0.9525,                0.76238,                0.85328,                0.54773,                0.89691,              0.0006931,              0.0006931,              0.0006931
                     65,                0.83119,                0.52968,                 0.8967,                0.86299,                0.92168,                0.95036,                0.77695,                 0.8524,                0.53769,                0.90254,             0.00068815,             0.00068815,             0.00068815
                     66,                0.82874,                0.52917,                0.89256,                0.84432,                0.90898,                0.95552,                0.77382,                0.86459,                0.54539,                0.90034,              0.0006832,              0.0006832,              0.0006832
                     67,                0.80996,                0.51239,                0.89102,                0.89467,                 0.8971,                0.95558,                0.76439,                 0.8487,                0.52658,                0.90885,             0.00067825,             0.00067825,             0.00067825
                     68,                0.81625,                0.51452,                0.89235,                0.83097,                0.93986,                0.95268,                0.76499,                0.86997,                0.55139,                 0.9109,              0.0006733,              0.0006733,              0.0006733
                     69,                0.81293,                0.50904,                0.89017,                0.87881,                0.94409,                0.95932,                0.77077,                0.86607,                0.52428,                0.90387,             0.00066835,             0.00066835,             0.00066835
                     70,                0.81296,                0.51312,                0.89028,                0.86896,                0.91578,                0.94113,                0.75152,                0.85424,                0.54157,                0.90041,              0.0006634,              0.0006634,              0.0006634
                     71,                0.80766,                0.50704,                0.88659,                 0.8327,                0.94118,                0.94916,                0.76965,                0.85195,                0.53224,                0.89838,             0.00065845,             0.00065845,             0.00065845
                     72,                0.81042,                0.50637,                0.89266,                0.86995,                0.94114,                0.96573,                0.77613,                0.85118,                 0.5071,                0.89978,              0.0006535,              0.0006535,              0.0006535
                     73,                0.80206,                0.50524,                0.89072,                0.94485,                0.86068,                0.95107,                0.76997,                0.85845,                0.55253,                0.89718,             0.00064855,             0.00064855,             0.00064855
                     74,                0.79614,                0.50287,                0.88708,                 0.9151,                0.89821,                0.95374,                 0.7734,                0.85457,                0.51835,                0.90159,              0.0006436,              0.0006436,              0.0006436
                     75,                0.79866,                 0.4953,                0.88915,                0.85488,                0.92878,                0.92921,                0.74901,                0.85189,                0.53583,                0.89181,             0.00063865,             0.00063865,             0.00063865
                     76,                0.80012,                 0.5058,                0.89158,                0.88369,                 0.9179,                0.95233,                0.77016,                0.84449,                0.51298,                0.89969,              0.0006337,              0.0006337,              0.0006337
                     77,                0.78291,                0.48959,                0.88475,                0.89693,                0.88471,                0.94543,                0.76447,                0.84943,                0.53602,                0.89419,             0.00062875,             0.00062875,             0.00062875
